date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-05-02,37,27,0.0,13.0,8,82,08:11 PM,06:44 AM,05:04 AM,06:04 PM,22,35,35,32,14,16,59,0.0,1008,37,10,178,12,Kolkata
2018-05-03,35,28,0.0,13.0,7,75,09:03 PM,07:28 AM,05:03 AM,06:04 PM,22,35,35,31,10,41,59,0.2,1009,35,9,166,8,Kolkata
2018-05-04,36,28,0.0,12.0,7,68,09:53 PM,08:14 AM,05:02 AM,06:04 PM,22,35,35,31,18,37,61,1.7,1008,36,10,197,14,Kolkata
2018-05-05,37,27,0.0,13.0,7,60,10:41 PM,09:02 AM,05:02 AM,06:05 PM,24,37,37,32,26,25,65,0.0,1007,37,10,188,20,Kolkata
2018-05-06,37,28,0.0,13.0,7,53,11:27 PM,09:52 AM,05:01 AM,06:05 PM,24,38,38,32,28,20,65,0.0,1006,37,10,183,22,Kolkata
2018-05-07,39,29,0.0,13.1,8,46,No moonrise,10:42 AM,05:01 AM,06:06 PM,24,38,38,32,26,5,63,0.0,1004,39,10,177,20,Kolkata
2018-05-08,39,29,0.0,13.1,8,39,12:09 AM,11:33 AM,05:00 AM,06:06 PM,25,39,39,33,24,10,64,0.0,1004,39,10,185,19,Kolkata
2018-05-09,37,28,0.0,13.5,8,31,12:50 AM,12:25 PM,04:59 AM,06:07 PM,26,39,39,32,20,23,72,0.2,1006,37,10,177,15,Kolkata
2018-05-10,40,29,0.0,13.5,9,24,01:29 AM,01:17 PM,04:59 AM,06:07 PM,24,39,39,33,18,11,62,0.6,1008,40,10,175,15,Kolkata
2018-05-11,39,29,0.0,13.5,7,17,02:07 AM,02:10 PM,04:58 AM,06:08 PM,24,38,38,32,18,13,64,35.2,1006,39,9,185,15,Kolkata
2018-05-12,38,29,0.0,13.5,7,9,02:45 AM,03:05 PM,04:58 AM,06:08 PM,23,37,37,33,15,27,58,6.1,1007,38,9,158,12,Kolkata
