date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-09-10,37,28,0.0,11.6,8,35,11:45 PM,12:59 PM,06:10 AM,06:37 PM,16,33,33,32,18,9,39,0.0,1002,37,10,309,11,Jaipur
2020-09-11,37,28,0.0,11.6,8,28,No moonrise,01:55 PM,06:10 AM,06:35 PM,18,34,34,32,17,11,43,0.0,1002,37,10,322,11,Jaipur
2020-09-12,38,29,0.0,11.6,8,20,12:34 AM,02:50 PM,06:11 AM,06:34 PM,16,34,34,33,15,8,36,0.0,1003,38,10,172,9,Jaipur
2020-09-13,38,29,0.0,11.6,8,13,01:30 AM,03:44 PM,06:11 AM,06:33 PM,17,34,34,33,10,10,40,0.0,1005,38,10,148,6,Jaipur
2020-09-14,38,29,0.0,11.6,8,5,02:30 AM,04:34 PM,06:12 AM,06:32 PM,17,34,34,33,10,10,39,0.0,1003,38,10,165,6,Jaipur
2020-09-15,38,30,0.0,11.6,9,0,03:35 AM,05:21 PM,06:12 AM,06:31 PM,17,35,35,34,9,8,38,0.0,1003,38,10,210,6,Jaipur
2020-09-16,39,29,0.0,11.6,8,0,04:41 AM,06:04 PM,06:13 AM,06:30 PM,17,35,35,33,21,13,40,0.0,1003,39,10,298,14,Jaipur
2020-09-17,38,29,0.0,11.6,8,0,05:48 AM,06:45 PM,06:13 AM,06:29 PM,19,35,35,33,26,23,43,0.0,1003,38,10,302,16,Jaipur
2020-09-18,36,29,0.0,10.2,7,2,06:54 AM,07:25 PM,06:13 AM,06:27 PM,22,36,36,32,23,42,55,3.3,1003,36,10,259,16,Jaipur
2020-09-19,36,24,0.0,11.6,7,10,08:01 AM,08:05 PM,06:14 AM,06:26 PM,22,33,33,30,21,45,59,6.5,1002,36,10,274,13,Jaipur
2020-09-20,37,25,0.0,11.6,8,17,09:08 AM,08:46 PM,06:14 AM,06:25 PM,19,34,34,32,17,25,48,1.5,1002,37,10,248,10,Jaipur
2020-09-21,39,29,0.0,11.6,9,25,10:15 AM,09:30 PM,06:15 AM,06:24 PM,14,34,34,33,14,3,32,0.0,1000,39,10,145,9,Jaipur
2020-09-22,37,30,0.0,11.6,8,32,11:22 AM,10:17 PM,06:15 AM,06:23 PM,17,34,34,33,15,8,40,0.0,1000,37,10,60,10,Jaipur
2020-09-23,34,28,0.0,10.2,7,40,12:26 PM,11:09 PM,06:16 AM,06:22 PM,22,35,35,31,12,61,63,9.6,1001,34,9,84,8,Jaipur
2020-09-24,36,27,0.0,11.6,7,47,01:28 PM,No moonset,06:16 AM,06:21 PM,20,34,34,31,10,30,55,0.3,1003,36,10,192,7,Jaipur
2020-09-25,37,27,0.0,11.6,8,55,02:23 PM,12:04 AM,06:16 AM,06:19 PM,15,32,32,32,27,5,37,0.0,1003,37,10,273,18,Jaipur
2020-09-26,35,20,0.0,8.8,6,62,03:14 PM,01:01 AM,06:17 AM,06:18 PM,18,30,30,28,26,35,54,4.0,1003,35,10,242,17,Jaipur
2020-09-27,34,23,0.0,11.6,8,70,03:58 PM,01:59 AM,06:17 AM,06:17 PM,18,30,30,29,9,46,51,4.4,1006,34,10,210,6,Jaipur
2020-09-28,37,27,0.0,11.6,8,78,04:37 PM,02:56 AM,06:18 AM,06:16 PM,14,32,32,32,15,5,38,0.0,1007,37,10,280,9,Jaipur
2020-09-29,36,27,0.0,11.6,8,85,05:13 PM,03:52 AM,06:18 AM,06:15 PM,11,30,30,31,26,6,31,0.0,1006,36,10,313,15,Jaipur
2020-09-30,36,27,0.0,11.6,8,93,05:45 PM,04:45 AM,06:19 AM,06:14 PM,10,30,30,31,17,7,28,0.0,1005,36,10,312,11,Jaipur
2020-10-01,37,26,0.0,11.6,8,97,06:15 PM,05:38 AM,06:19 AM,06:13 PM,11,30,30,31,28,3,31,0.0,1005,37,10,297,17,Jaipur
2020-10-02,37,26,0.0,11.6,8,100,06:45 PM,06:29 AM,06:20 AM,06:12 PM,10,32,32,32,27,2,30,0.0,1005,37,10,293,17,Jaipur
2020-10-03,36,25,0.0,11.6,8,89,07:16 PM,07:21 AM,06:20 AM,06:11 PM,7,29,29,30,26,1,25,0.0,1006,36,10,299,16,Jaipur
2020-10-04,36,26,0.0,11.6,8,82,07:48 PM,08:12 AM,06:21 AM,06:09 PM,6,30,30,31,19,0,22,0.0,1007,36,10,308,12,Jaipur
2020-10-05,36,26,0.0,11.6,8,74,08:21 PM,09:04 AM,06:21 AM,06:08 PM,3,29,29,30,19,0,19,0.0,1007,36,10,294,12,Jaipur
2020-10-06,36,26,0.0,11.6,8,67,08:58 PM,09:58 AM,06:22 AM,06:07 PM,3,29,29,31,19,0,17,0.0,1007,36,10,323,12,Jaipur
2020-10-07,37,26,0.0,11.6,8,60,09:40 PM,10:52 AM,06:22 AM,06:06 PM,3,30,30,31,15,0,17,0.0,1008,37,10,179,9,Jaipur
2020-10-08,38,26,0.0,11.6,8,53,10:26 PM,11:47 AM,06:22 AM,06:05 PM,3,31,31,32,9,0,17,0.0,1009,38,10,154,5,Jaipur
2020-10-09,37,27,0.0,11.6,8,45,11:18 PM,12:41 PM,06:23 AM,06:04 PM,5,30,30,32,8,0,20,0.0,1009,37,10,139,5,Jaipur
2020-10-10,37,27,0.0,11.6,8,38,No moonrise,01:34 PM,06:24 AM,06:03 PM,4,30,30,32,13,0,18,0.0,1008,37,10,161,7,Jaipur
2020-10-11,37,27,0.0,11.6,8,31,12:15 AM,02:24 PM,06:24 AM,06:02 PM,2,30,30,31,13,0,17,0.0,1006,37,10,309,8,Jaipur
2020-10-12,38,26,0.0,11.6,8,23,01:16 AM,03:12 PM,06:25 AM,06:01 PM,4,31,31,32,7,0,18,0.0,1005,38,10,105,4,Jaipur
2020-10-13,36,27,0.0,11.6,8,16,02:19 AM,03:55 PM,06:25 AM,06:00 PM,3,29,29,31,11,1,17,0.0,1005,36,10,84,7,Jaipur
2020-10-14,35,26,0.0,8.7,8,9,03:25 AM,04:36 PM,06:26 AM,05:59 PM,13,30,30,30,17,6,35,0.0,1006,35,10,76,10,Jaipur
2020-10-15,34,27,0.0,8.7,8,2,04:31 AM,05:16 PM,06:26 AM,05:58 PM,11,29,29,30,16,4,32,0.0,1007,34,10,67,10,Jaipur
2020-10-16,35,26,0.0,8.7,8,0,05:38 AM,05:56 PM,06:27 AM,05:57 PM,3,28,28,30,20,5,18,0.0,1007,35,10,63,12,Jaipur
